epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
61,16269.8,0.36313,0.58698,0.18852,0.67029,0.40064,0.43127,0.26726,0.56202,2.16913,0.7683,0.000434554,0.000434554,0.000434554
62,16538.6,0.35255,0.58316,0.18353,0.65363,0.43183,0.46617,0.28137,0.55666,1.54748,0.77725,0.000420592,0.000420592,0.000420592
63,16807.7,0.35715,0.58705,0.18729,0.66999,0.38799,0.43073,0.25913,0.56967,0.88714,0.81397,0.000406698,0.000406698,0.000406698
64,17076.3,0.35654,0.60555,0.18974,0.56676,0.44187,0.48673,0.28604,0.57009,0.78078,0.80301,0.000392884,0.000392884,0.000392884
65,17346.7,0.35962,0.58431,0.19051,0.77488,0.46029,0.54704,0.32672,0.57815,0.72643,0.81668,0.000379162,0.000379162,0.000379162
66,17617.3,0.35287,0.5678,0.18851,0.65102,0.40882,0.44013,0.26124,0.61053,1.43158,0.85851,0.000365542,0.000365542,0.000365542
67,17886.3,0.34919,0.5594,0.18662,0.69249,0.50484,0.5121,0.30911,0.5763,1.37237,0.79495,0.000352037,0.000352037,0.000352037
68,18156,0.34807,0.54211,0.18599,0.7486,0.44923,0.53806,0.31639,0.57047,1.01234,0.7912,0.000338656,0.000338656,0.000338656
69,18424.9,0.3479,0.54314,0.18434,0.69918,0.50837,0.56335,0.33364,0.57007,1.39423,0.76806,0.00032541,0.00032541,0.00032541
70,18694.7,0.34597,0.53008,0.18498,0.67717,0.51432,0.54983,0.32541,0.57517,1.25047,0.77447,0.000312311,0.000312311,0.000312311
71,18965.1,0.3364,0.53028,0.17816,0.75095,0.54947,0.57772,0.34176,0.55364,1.38002,0.7424,0.00029937,0.00029937,0.00029937
72,19234.8,0.34251,0.52752,0.18273,0.72722,0.53624,0.58211,0.35287,0.55192,0.77957,0.73958,0.000286596,0.000286596,0.000286596
73,19505.4,0.33539,0.5265,0.17583,0.74126,0.48993,0.55634,0.34229,0.55302,2.02078,0.72714,0.000274,0.000274,0.000274
74,19776.4,0.33538,0.5211,0.17473,0.74495,0.44264,0.52268,0.32509,0.57091,1.58406,0.76464,0.000261592,0.000261592,0.000261592
75,20046.1,0.33439,0.51556,0.17774,0.74931,0.4778,0.51321,0.31592,0.56832,1.97182,0.77253,0.000249383,0.000249383,0.000249383
76,20315.2,0.3286,0.5242,0.17294,0.76714,0.45029,0.50724,0.3092,0.58606,2.89564,0.78044,0.000237383,0.000237383,0.000237383
77,20585.2,0.32441,0.52645,0.16493,0.61821,0.35084,0.39945,0.24826,0.58746,1.67805,0.80775,0.000225601,0.000225601,0.000225601
78,20855,0.31713,0.51431,0.1636,0.76731,0.45457,0.50827,0.31013,0.58194,1.74922,0.79236,0.000214046,0.000214046,0.000214046
79,21124.8,0.32418,0.50495,0.17266,0.7538,0.41919,0.51082,0.31605,0.56652,0.85468,0.76715,0.000202729,0.000202729,0.000202729
80,21395.2,0.31799,0.50363,0.16359,0.69172,0.4023,0.47576,0.29571,0.55888,0.98601,0.73903,0.000191659,0.000191659,0.000191659
81,21664.8,0.31299,0.49129,0.16229,0.58259,0.40105,0.4482,0.27146,0.57425,0.96701,0.76996,0.000180844,0.000180844,0.000180844
82,21935.7,0.31164,0.49285,0.16278,0.73715,0.36213,0.45641,0.27678,0.61731,1.36848,0.84573,0.000170293,0.000170293,0.000170293
83,22206,0.30905,0.4795,0.15993,0.71,0.39681,0.45829,0.27372,0.5996,1.60042,0.8277,0.000160016,0.000160016,0.000160016
84,22476.6,0.31102,0.48411,0.16147,0.78049,0.44172,0.51804,0.3079,0.57474,1.29782,0.7722,0.00015002,0.00015002,0.00015002
85,22747.7,0.30762,0.48929,0.15753,0.76685,0.41819,0.49991,0.30672,0.58671,0.94844,0.77951,0.000140313,0.000140313,0.000140313
86,23018.2,0.30337,0.48061,0.15464,0.57792,0.45146,0.48293,0.30079,0.58381,0.92579,0.7813,0.000130904,0.000130904,0.000130904
87,23288.6,0.30558,0.47102,0.16,0.58376,0.52022,0.52411,0.32451,0.56279,0.77829,0.7652,0.0001218,0.0001218,0.0001218
88,23559.6,0.30035,0.46514,0.15373,0.76633,0.48021,0.57292,0.34648,0.58599,0.74116,0.79394,0.000113008,0.000113008,0.000113008
89,23829,0.30495,0.46295,0.15557,0.60481,0.55889,0.56341,0.33724,0.5807,0.90192,0.77484,0.000104537,0.000104537,0.000104537
90,24099.2,0.29837,0.45863,0.15629,0.62917,0.52031,0.53632,0.32546,0.57176,0.81564,0.76869,9.63914e-05,9.63914e-05,9.63914e-05
91,24368.2,0.29709,0.46067,0.15492,0.81509,0.49662,0.5684,0.34193,0.59135,0.83393,0.80527,8.85795e-05,8.85795e-05,8.85795e-05
92,24637.6,0.29542,0.45363,0.14986,0.79832,0.44606,0.5848,0.34114,0.59145,0.84682,0.79052,8.11072e-05,8.11072e-05,8.11072e-05
