epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,12683.2,0.74344,1.01408,1.15257,0.71663,0.69819,0.75044,0.66239,1.26579,1.37677,1.15794,0.000462065,0.000462065,0.000462065
61,12928.3,0.75792,1.01454,1.14827,0.70198,0.72541,0.75089,0.65929,1.27625,1.39116,1.15875,0.000451066,0.000451066,0.000451066
62,13172.7,0.76178,1.00716,1.14905,0.6998,0.72157,0.74841,0.66036,1.27158,1.38331,1.15876,0.000440067,0.000440067,0.000440067
63,13415.8,0.74218,1.00237,1.14455,0.73965,0.67397,0.74336,0.65383,1.26346,1.35475,1.13841,0.000429068,0.000429068,0.000429068
64,13653.2,0.75906,1.0079,1.14975,0.75753,0.69896,0.75796,0.66666,1.25913,1.35376,1.14992,0.000418069,0.000418069,0.000418069
65,13865.5,0.74388,1.00364,1.14981,0.69668,0.71363,0.75433,0.66068,1.29632,1.37796,1.17033,0.00040707,0.00040707,0.00040707
66,14068.5,0.74333,0.99487,1.14207,0.73836,0.70577,0.74698,0.65639,1.29361,1.37374,1.17308,0.000396071,0.000396071,0.000396071
67,14297.7,0.75181,0.97646,1.14263,0.72325,0.71949,0.76094,0.66552,1.28657,1.34506,1.16167,0.000385073,0.000385073,0.000385073
68,14524.1,0.73268,0.97612,1.13927,0.72075,0.72284,0.76084,0.66598,1.27943,1.37144,1.17316,0.000374074,0.000374074,0.000374074
69,14751.1,0.72935,0.96884,1.13761,0.73926,0.71318,0.75878,0.6655,1.26331,1.34938,1.15288,0.000363075,0.000363075,0.000363075
70,14977.3,0.73372,0.97391,1.14062,0.72342,0.70122,0.75273,0.66413,1.26118,1.3554,1.14129,0.000352076,0.000352076,0.000352076
71,15194.5,0.73627,0.97638,1.13551,0.71257,0.72121,0.75819,0.66451,1.25349,1.33758,1.13409,0.000341077,0.000341077,0.000341077
72,15412.7,0.7362,0.95442,1.13523,0.71527,0.71903,0.75791,0.66559,1.27271,1.34767,1.15065,0.000330078,0.000330078,0.000330078
73,15626.4,0.74033,0.94955,1.14042,0.73082,0.71248,0.75405,0.66186,1.27319,1.36665,1.15212,0.000319079,0.000319079,0.000319079
74,15850.3,0.71572,0.93556,1.13246,0.73689,0.68755,0.75887,0.66142,1.27853,1.37605,1.16932,0.00030808,0.00030808,0.00030808
75,16071.7,0.7238,0.93846,1.12596,0.74317,0.68384,0.75286,0.65925,1.27399,1.39208,1.16371,0.000297081,0.000297081,0.000297081
76,16283.8,0.72781,0.94232,1.12917,0.70281,0.71034,0.74603,0.65879,1.27523,1.36502,1.1666,0.000286083,0.000286083,0.000286083
77,16498.6,0.71864,0.91818,1.12758,0.72816,0.70093,0.75549,0.66374,1.26469,1.35673,1.14362,0.000275084,0.000275084,0.000275084
78,16714.6,0.70422,0.89936,1.11919,0.71391,0.7135,0.75826,0.66761,1.292,1.39602,1.18562,0.000264085,0.000264085,0.000264085
79,16938.6,0.71498,0.92712,1.12139,0.71951,0.7252,0.75714,0.66443,1.28693,1.38392,1.16861,0.000253086,0.000253086,0.000253086
80,17159.5,0.71059,0.90152,1.12294,0.72438,0.71784,0.7604,0.66546,1.2738,1.36785,1.15408,0.000242087,0.000242087,0.000242087
81,17404.2,0.7165,0.91792,1.12563,0.72468,0.70587,0.7537,0.66054,1.2838,1.36244,1.17217,0.000231088,0.000231088,0.000231088
82,17637.6,0.71751,0.91127,1.12392,0.73491,0.71783,0.75881,0.66617,1.28026,1.37178,1.16568,0.000220089,0.000220089,0.000220089
83,17866.2,0.7034,0.89118,1.11967,0.73785,0.71339,0.75877,0.66532,1.29282,1.37916,1.16786,0.00020909,0.00020909,0.00020909
84,18103.6,0.71521,0.8881,1.11734,0.71844,0.72478,0.76298,0.664,1.29741,1.36869,1.18955,0.000198091,0.000198091,0.000198091
85,18326.7,0.71361,0.88668,1.1224,0.73901,0.7101,0.7604,0.66369,1.29958,1.37268,1.18922,0.000187092,0.000187092,0.000187092
86,18549.7,0.69435,0.88912,1.11746,0.73311,0.70689,0.76141,0.66057,1.28619,1.37919,1.18004,0.000176094,0.000176094,0.000176094
87,18766.8,0.69769,0.87118,1.11239,0.75947,0.7135,0.7565,0.66198,1.29837,1.36749,1.19051,0.000165095,0.000165095,0.000165095
88,18971.4,0.70868,0.87465,1.11548,0.76359,0.69113,0.75117,0.65624,1.29169,1.38879,1.18545,0.000154096,0.000154096,0.000154096
89,19185.2,0.71025,0.8668,1.116,0.74522,0.70917,0.75663,0.66313,1.29369,1.37034,1.19073,0.000143097,0.000143097,0.000143097
90,19386.7,0.69708,0.86331,1.11338,0.74987,0.70873,0.76357,0.66694,1.29448,1.35069,1.19349,0.000132098,0.000132098,0.000132098
91,19598,0.89739,0.89683,1.2226,0.73402,0.7173,0.75365,0.65776,1.2813,1.36048,1.16196,0.000121099,0.000121099,0.000121099
92,179.397,0.88676,0.88,1.20838,0.71838,0.72839,0.75143,0.65765,1.29109,1.36225,1.17408,0.0001101,0.0001101,0.0001101
93,356.359,0.86918,0.83675,1.20362,0.70636,0.72663,0.7545,0.65787,1.29427,1.3703,1.18657,9.91012e-05,9.91012e-05,9.91012e-05
94,535.607,0.86821,0.84881,1.1927,0.76518,0.69169,0.75865,0.65878,1.299,1.36043,1.1936,8.81023e-05,8.81023e-05,8.81023e-05
95,715.599,0.87092,0.83224,1.19737,0.70899,0.71562,0.7472,0.65671,1.29612,1.3724,1.18314,7.71034e-05,7.71034e-05,7.71034e-05
96,894.604,0.87076,0.82587,1.19686,0.73513,0.69017,0.75185,0.65593,1.29784,1.38591,1.18123,6.61045e-05,6.61045e-05,6.61045e-05
97,1075.37,0.85672,0.82112,1.19592,0.72971,0.72569,0.75134,0.65744,1.30337,1.37041,1.1911,5.51056e-05,5.51056e-05,5.51056e-05
98,1254.65,0.85946,0.81295,1.18737,0.73114,0.70762,0.75042,0.65846,1.2934,1.35964,1.17903,4.41067e-05,4.41067e-05,4.41067e-05
99,1435.43,0.84535,0.80511,1.1823,0.72721,0.70041,0.75229,0.65664,1.28841,1.37577,1.172,3.31078e-05,3.31078e-05,3.31078e-05
100,1614.37,0.84596,0.79692,1.17663,0.72518,0.71025,0.75104,0.65783,1.29219,1.37183,1.17622,2.21089e-05,2.21089e-05,2.21089e-05
