epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,13234.8,0.75371,1.02141,1.15844,0.7067,0.70264,0.74469,0.65068,1.27296,1.3654,1.16404,0.000418069,0.000418069,0.000418069
65,13444.1,0.73999,1.00553,1.15659,0.70276,0.70437,0.75114,0.65041,1.29031,1.33413,1.16724,0.00040707,0.00040707,0.00040707
66,13652.3,0.73894,1.00155,1.14726,0.70049,0.71596,0.74659,0.65653,1.28842,1.34284,1.16773,0.000396071,0.000396071,0.000396071
67,13860.9,0.74741,0.98556,1.1469,0.69408,0.72138,0.75525,0.65418,1.28875,1.35818,1.16334,0.000385073,0.000385073,0.000385073
68,14067.4,0.73549,0.99197,1.14487,0.71262,0.70626,0.75066,0.65581,1.28491,1.34527,1.16688,0.000374074,0.000374074,0.000374074
69,14272.4,0.72846,0.97202,1.13963,0.71532,0.69185,0.75363,0.65586,1.27806,1.33554,1.16434,0.000363075,0.000363075,0.000363075
70,14480.8,0.72557,0.97919,1.14407,0.68188,0.70753,0.7423,0.62509,1.29385,1.36395,1.19401,0.000352076,0.000352076,0.000352076
71,14686.5,0.73828,0.98655,1.14465,0.67044,0.73826,0.7528,0.6456,1.28256,1.32617,1.17323,0.000341077,0.000341077,0.000341077
72,14897.1,0.74268,0.97989,1.14583,0.71621,0.70868,0.75592,0.65536,1.28996,1.33703,1.16433,0.000330078,0.000330078,0.000330078
73,15105.2,0.7458,0.96409,1.15271,0.70293,0.71906,0.75713,0.66106,1.2821,1.32585,1.15344,0.000319079,0.000319079,0.000319079
74,15313.6,0.71225,0.94299,1.13654,0.67695,0.70798,0.74853,0.65234,1.29123,1.36353,1.17584,0.00030808,0.00030808,0.00030808
75,15519.6,0.73323,0.94598,1.13981,0.69738,0.73836,0.76192,0.65271,1.28929,1.30962,1.16365,0.000297081,0.000297081,0.000297081
76,15723.4,0.72743,0.95155,1.13473,0.6872,0.70591,0.7522,0.65433,1.28177,1.36107,1.17149,0.000286083,0.000286083,0.000286083
77,15932.5,0.71533,0.92827,1.13251,0.69976,0.72664,0.75359,0.65915,1.27046,1.32149,1.14554,0.000275084,0.000275084,0.000275084
78,16142,0.70453,0.91566,1.12701,0.72098,0.70074,0.7523,0.64976,1.27288,1.3378,1.15439,0.000264085,0.000264085,0.000264085
79,16350.9,0.71601,0.93313,1.12928,0.6911,0.71602,0.74662,0.63538,1.27495,1.33765,1.158,0.000253086,0.000253086,0.000253086
80,16557.1,0.71135,0.92295,1.1285,0.70287,0.73457,0.75933,0.66306,1.24741,1.29779,1.11992,0.000242087,0.000242087,0.000242087
81,16764.3,0.71904,0.93219,1.13792,0.68218,0.74702,0.75916,0.65736,1.24966,1.304,1.12852,0.000231088,0.000231088,0.000231088
82,16972.3,0.72182,0.937,1.13463,0.70156,0.73401,0.76516,0.66095,1.26534,1.3069,1.14557,0.000220089,0.000220089,0.000220089
83,17176.3,0.70835,0.90584,1.12665,0.72809,0.71933,0.76343,0.66524,1.27121,1.3,1.13934,0.00020909,0.00020909,0.00020909
84,17382,0.7168,0.90622,1.12457,0.71271,0.71591,0.75385,0.64824,1.28333,1.31016,1.16322,0.000198091,0.000198091,0.000198091
85,17588.1,0.72038,0.8967,1.13199,0.7113,0.72829,0.75726,0.6606,1.27701,1.3139,1.14767,0.000187092,0.000187092,0.000187092
86,17793.1,0.70103,0.904,1.1239,0.68853,0.72228,0.75183,0.64494,1.2885,1.34151,1.16663,0.000176094,0.000176094,0.000176094
87,17997.7,0.70055,0.88845,1.11936,0.75166,0.68217,0.75131,0.6509,1.28921,1.34066,1.16027,0.000165095,0.000165095,0.000165095
88,18204.4,0.71696,0.89521,1.12592,0.70463,0.71343,0.74552,0.64823,1.28391,1.34429,1.16061,0.000154096,0.000154096,0.000154096
89,18408.6,0.71605,0.8931,1.12258,0.70056,0.73162,0.75616,0.65465,1.27716,1.32182,1.15576,0.000143097,0.000143097,0.000143097
90,18618,0.70536,0.87754,1.12261,0.70291,0.73614,0.76143,0.65416,1.27677,1.30889,1.15813,0.000132098,0.000132098,0.000132098
91,18820.3,0.91607,0.95629,1.24399,0.74287,0.72651,0.7635,0.6622,1.28737,1.29213,1.16188,0.000121099,0.000121099,0.000121099
92,19019.3,0.88663,0.89587,1.21469,0.72936,0.73847,0.75868,0.66117,1.28973,1.29997,1.16394,0.0001101,0.0001101,0.0001101
93,19217.2,0.89279,0.89537,1.21549,0.7297,0.73187,0.75854,0.65759,1.27677,1.30658,1.15405,9.91012e-05,9.91012e-05,9.91012e-05
94,19415.5,0.8972,0.8862,1.22185,0.73658,0.7268,0.76006,0.65817,1.27794,1.31025,1.15542,8.81023e-05,8.81023e-05,8.81023e-05
95,19614.6,0.8782,0.86302,1.20708,0.72647,0.72881,0.76529,0.66151,1.2835,1.30377,1.15386,7.71034e-05,7.71034e-05,7.71034e-05
96,19813.8,0.87647,0.87113,1.21074,0.72041,0.72851,0.76335,0.66236,1.28391,1.30147,1.15751,6.61045e-05,6.61045e-05,6.61045e-05
97,20012.3,0.87423,0.85753,1.21455,0.75836,0.71159,0.7645,0.66283,1.28502,1.29326,1.15893,5.51056e-05,5.51056e-05,5.51056e-05
98,20211.6,0.87086,0.85907,1.20185,0.73264,0.73089,0.76462,0.66412,1.28167,1.29712,1.15749,4.41067e-05,4.41067e-05,4.41067e-05
99,20409.2,0.87274,0.85205,1.20901,0.7353,0.71474,0.76184,0.66353,1.28319,1.29589,1.15755,3.31078e-05,3.31078e-05,3.31078e-05
100,20610.6,0.8768,0.85733,1.21143,0.72807,0.73046,0.76453,0.66387,1.28177,1.29888,1.15389,2.21089e-05,2.21089e-05,2.21089e-05
